tp_id,node,indicator,unused,tech_type
401,11,1,0,11
402,11,1,0,12
403,11,1,0,13
404,11,1,0,14
405,11,1,0,15
406,11,1,0,16
407,11,1,0,17
408,11,1,0,18
409,11,1,0,19
410,11,1,0,20
411,11,1,0,21
412,11,1,0,22
413,11,1,0,23
414,11,1,0,24
415,11,1,0,25
416,11,1,0,26
417,11,1,0,27
418,11,1,0,28
419,11,1,0,29
420,11,1,0,30
421,11,1,0,31
422,11,1,0,32
423,11,1,0,33
424,11,1,0,34
425,11,1,0,35
426,11,1,0,36
427,11,1,0,37
428,11,1,0,38
429,11,1,0,39
430,12,1,0,1
431,12,1,0,2
432,12,1,0,3
433,12,1,0,4
434,12,1,0,5
435,12,1,0,6
436,12,1,0,7
437,12,1,0,8
438,12,1,0,9
439,12,1,0,10
440,12,1,0,11
441,12,1,0,12
442,12,1,0,13
443,12,1,0,14
444,12,1,0,15
445,12,1,0,16
446,12,1,0,17
447,12,1,0,18
448,12,1,0,19
449,12,1,0,20
450,12,1,0,21
451,12,1,0,22
452,12,1,0,23
453,12,1,0,24
454,12,1,0,25
455,12,1,0,26
456,12,1,0,27
457,12,1,0,28
458,12,1,0,29
459,12,1,0,30
460,12,1,0,31
461,12,1,0,32
462,12,1,0,33
463,12,1,0,34
464,12,1,0,35
465,12,1,0,36
466,12,1,0,37
467,12,1,0,38
468,12,1,0,39
469,13,1,0,1
470,13,1,0,2
471,13,1,0,3
472,13,1,0,4
473,13,1,0,5
474,13,1,0,6
475,13,1,0,7
476,13,1,0,8
477,13,1,0,9
478,13,1,0,10
479,13,1,0,11
480,13,1,0,12
481,13,1,0,13
482,13,1,0,14
483,13,1,0,15
484,13,1,0,16
485,13,1,0,17
486,13,1,0,18
487,13,1,0,19
488,13,1,0,20
489,13,1,0,21
490,13,1,0,22
491,13,1,0,23
492,13,1,0,24
493,13,1,0,25
494,13,1,0,26
495,13,1,0,27
496,13,1,0,28
497,13,1,0,29
498,13,1,0,30
499,13,1,0,31
500,13,1,0,32
501,13,1,0,33
502,13,1,0,34
503,13,1,0,35
504,13,1,0,36
505,13,1,0,37
506,13,1,0,38
507,13,1,0,39
508,14,1,0,1
509,14,1,0,2
510,14,1,0,3
511,14,1,0,4
512,14,1,0,5
513,14,1,0,6
514,14,1,0,7
515,14,1,0,8
516,14,1,0,9
517,14,1,0,10
518,14,1,0,11
519,14,1,0,12
520,14,1,0,13
521,14,1,0,14
522,14,1,0,15
523,14,1,0,16
524,14,1,0,17
525,14,1,0,18
526,14,1,0,19
527,14,1,0,20
528,14,1,0,21
529,14,1,0,22
530,14,1,0,23
531,14,1,0,24
532,14,1,0,25
533,14,1,0,26
534,14,1,0,27
535,14,1,0,28
536,14,1,0,29
537,14,1,0,30
538,14,1,0,31
539,14,1,0,32
540,14,1,0,33
541,14,1,0,34
542,14,1,0,35
543,14,1,0,36
544,14,1,0,37
545,14,1,0,38
546,14,1,0,39
547,15,1,0,1
548,15,1,0,2
549,15,1,0,3
550,15,1,0,4
551,15,1,0,5
552,15,1,0,6
553,15,1,0,7
554,15,1,0,8
555,15,1,0,9
556,15,1,0,10
557,15,1,0,11
558,15,1,0,12
559,15,1,0,13
560,15,1,0,14
561,15,1,0,15
562,15,1,0,16
563,15,1,0,17
564,15,1,0,18
565,15,1,0,19
566,15,1,0,20
567,15,1,0,21
568,15,1,0,22
569,15,1,0,23
570,15,1,0,24
571,15,1,0,25
572,15,1,0,26
573,15,1,0,27
574,15,1,0,28
575,15,1,0,29
576,15,1,0,30
577,15,1,0,31
578,15,1,0,32
579,15,1,0,33
580,15,1,0,34
581,15,1,0,35
582,15,1,0,36
583,15,1,0,37
584,15,1,0,38
585,15,1,0,39
586,16,1,0,1
587,16,1,0,2
588,16,1,0,3
589,16,1,0,4
590,16,1,0,5
591,16,1,0,6
592,16,1,0,7
593,16,1,0,8
594,16,1,0,9
595,16,1,0,10
596,16,1,0,11
597,16,1,0,12
598,16,1,0,13
599,16,1,0,14
600,16,1,0,15
601,16,1,0,16
602,16,1,0,17
603,16,1,0,18
604,16,1,0,19
605,16,1,0,20
606,16,1,0,21
607,16,1,0,22
608,16,1,0,23
609,16,1,0,24
610,16,1,0,25
611,16,1,0,26
612,16,1,0,27
613,16,1,0,28
614,16,1,0,29
615,16,1,0,30
616,16,1,0,31
617,16,1,0,32
618,16,1,0,33
619,16,1,0,34
620,16,1,0,35
621,16,1,0,36
622,16,1,0,37
623,16,1,0,38
624,16,1,0,39
625,17,1,0,1
626,17,1,0,2
627,17,1,0,3
628,17,1,0,4
629,17,1,0,5
630,17,1,0,6
631,17,1,0,7
632,17,1,0,8
633,17,1,0,9
634,17,1,0,10
635,17,1,0,11
636,17,1,0,12
637,17,1,0,13
638,17,1,0,14
639,17,1,0,15
640,17,1,0,16
641,17,1,0,17
642,17,1,0,18
643,17,1,0,19
644,17,1,0,20
645,17,1,0,21
646,17,1,0,22
647,17,1,0,23
648,17,1,0,24
649,17,1,0,25
650,17,1,0,26
651,17,1,0,27
652,17,1,0,28
653,17,1,0,29
654,17,1,0,30
655,17,1,0,31
656,17,1,0,32
657,17,1,0,33
658,17,1,0,34
659,17,1,0,35
660,17,1,0,36
661,17,1,0,37
662,17,1,0,38
663,17,1,0,39
