node,product,ghg_shadow_kg_per_t
65,2,0.0
65,3,0.0
65,4,0.0
65,5,0.0
65,6,0.0
65,7,0.0
65,8,0.0
65,9,0.0
65,10,0.0
65,11,0.0
65,12,0.0
65,13,0.0
66,1,0.0
66,2,1.074180901103344
66,3,0.0
66,4,0.0
66,5,0.0
66,6,0.0
66,7,0.0
66,8,0.0
66,9,0.0
66,10,3.6475839842564994
66,11,0.0
66,12,0.0
66,13,0.0
67,1,9.126022997236896
67,2,0.0
67,3,0.0
67,4,0.0
67,5,0.0
67,6,0.0
67,7,0.0
67,8,0.0
67,9,0.0
67,10,0.0
67,11,0.0
67,12,0.0
67,13,0.0
68,1,7.519054168104207
68,2,0.0
68,3,0.0
68,4,0.0
68,5,0.0
68,6,0.0
68,7,0.0
68,8,0.0
68,9,0.0
68,10,0.0
68,11,0.0
68,12,0.0
68,13,0.0
69,1,9.963449125327761
69,2,0.0
69,3,0.0
69,4,0.0
69,5,0.0
69,6,0.0
69,7,0.0
69,8,0.0
69,9,0.0
69,10,0.0
69,11,0.0
69,12,0.0
69,13,0.0
70,1,10.880414689126866
70,2,0.0
70,3,0.0
70,4,0.0
70,5,0.0
70,6,0.0
70,7,0.0
70,8,0.0
70,9,0.0
70,10,0.0
70,11,0.0
70,12,0.0
70,13,0.0
71,1,8.333181210440106
71,2,0.0
71,3,0.0
71,4,0.0
71,5,0.0
71,6,0.0
71,7,0.0
71,8,0.0
71,9,0.0
71,10,0.0
71,11,0.0
71,12,0.0
71,13,0.0
72,1,9.517695943031704
72,2,0.0
72,3,0.0
72,4,0.0
72,5,0.0
72,6,0.0
72,7,0.0
72,8,0.0
72,9,0.0
72,10,0.0
72,11,0.0
72,12,0.0
72,13,0.0
1,27,344.7810949787612
2,27,371.0171228757052
3,27,359.5918774989054
4,27,372.32204886044894
5,27,348.28103158998437
6,27,356.1157525337865
7,27,363.0024148275649
8,27,344.3616346265862
9,27,356.7745777187632
10,27,352.9059824071091
11,27,339.44884694918983
12,27,343.56308707593905
13,27,335.3427724020912
14,27,337.3336054094599
15,27,354.1818063630567
16,27,369.48310831254025
17,27,354.67325741767434
18,27,354.5166087625128
19,27,361.65481776028173
20,27,340.53200332896876
21,27,359.68394333842815
22,27,339.4285217665116
23,27,335.09773291956066
24,27,341.35450207769935
25,27,339.2987028820556
26,27,368.4170770675157
27,27,349.1912384981068
28,27,333.5827055733704
29,27,345.39170311838586
30,27,336.40997023643644
31,27,348.5255321431142
32,27,350.2769324719817
33,27,335.8338945567625
34,27,355.8266614171709
35,27,357.803721160852
36,27,344.99599466558294
37,27,353.66047484367454
38,27,356.89935577810064
39,27,342.9514820652478
40,27,352.99863820544897
41,27,337.0299778531921
42,27,347.75095379892366
43,27,353.1560153614993
44,27,361.0257467554719
45,27,347.0697349365272
46,27,341.2466808796162
47,27,355.9852109589687
48,27,351.65460598034315
49,27,358.911127306262
50,27,349.16057212628783
51,27,362.3922603600543
52,27,335.5452401728187
53,27,343.4005950830293
54,27,331.19051321905584
55,27,360.9534488637231
56,27,354.5830121757867
57,27,340.6165512508023
58,27,364.8148344658822
59,27,350.88454747120454
60,27,340.688261940716
61,27,357.59412784025824
62,27,353.2112948565609
63,27,346.5688388849921
64,27,364.2233059178231
65,27,331.460212655898
66,27,364.1755292591382
67,27,339.05742064407855
68,27,335.38341439942695
69,27,348.0213302510898
70,27,345.07102230816764
71,27,343.91848608766793
72,27,350.02933695348804
