subclass_name,resource,fips,county,state,usdaregion,"County Square Miles",scenario_name,prod_source,price_offered,production_total,production_unit,production_energy_content,energy_content_unit,total_prod_density_dtpersqmi
FOG,"FOG, brown grease",55055,"Jefferson County",WI,"Lake States",582.74,"mature-market low",wastes,426.67,547.00,dt,18598000000,BTU,0.94
FOG,"FOG, brown grease",55055,"Jefferson County",WI,"Lake States",582.74,"mature-market medium",wastes,426.67,547.00,dt,18598000000,BTU,0.94
FOG,"FOG, brown grease",55055,"Jefferson County",WI,"Lake States",582.74,near-term,wastes,426.67,567.00,dt,19278000000,BTU,0.97
FOG,"FOG, brown grease",55057,"Juneau County",WI,"Lake States",805.17,Emerging,wastes,446.87,137.00,dt,4658000000,BTU,0.17
FOG,"FOG, brown grease",55057,"Juneau County",WI,"Lake States",805.17,"mature-market high",wastes,446.87,137.00,dt,4658000000,BTU,0.17
FOG,"FOG, brown grease",55057,"Juneau County",WI,"Lake States",805.17,"mature-market low",wastes,426.67,137.00,dt,4658000000,BTU,0.17
FOG,"FOG, brown grease",55057,"Juneau County",WI,"Lake States",805.17,"mature-market medium",wastes,426.67,137.00,dt,4658000000,BTU,0.17
FOG,"FOG, brown grease",55057,"Juneau County",WI,"Lake States",805.17,near-term,wastes,426.67,178.00,dt,6052000000,BTU,0.22
FOG,"FOG, brown grease",55059,"Kenosha County",WI,"Lake States",278.42,Emerging,wastes,446.87,1145.00,dt,38930000000,BTU,4.11
FOG,"FOG, brown grease",55059,"Kenosha County",WI,"Lake States",278.42,"mature-market high",wastes,446.87,1145.00,dt,38930000000,BTU,4.11
FOG,"FOG, brown grease",55059,"Kenosha County",WI,"Lake States",278.42,"mature-market low",wastes,426.67,1145.00,dt,38930000000,BTU,4.11
FOG,"FOG, brown grease",55059,"Kenosha County",WI,"Lake States",278.42,"mature-market medium",wastes,426.67,1145.00,dt,38930000000,BTU,4.11
FOG,"FOG, brown grease",55059,"Kenosha County",WI,"Lake States",278.42,near-term,wastes,426.67,1134.00,dt,38556000000,BTU,4.07
FOG,"FOG, brown grease",55061,"Kewaunee County",WI,"Lake States",343.95,Emerging,wastes,446.87,106.00,dt,3604000000,BTU,0.31
FOG,"FOG, brown grease",55061,"Kewaunee County",WI,"Lake States",343.95,"mature-market high",wastes,446.87,106.00,dt,3604000000,BTU,0.31
FOG,"FOG, brown grease",55061,"Kewaunee County",WI,"Lake States",343.95,"mature-market low",wastes,426.67,106.00,dt,3604000000,BTU,0.31
FOG,"FOG, brown grease",55061,"Kewaunee County",WI,"Lake States",343.95,"mature-market medium",wastes,426.67,106.00,dt,3604000000,BTU,0.31
FOG,"FOG, brown grease",55061,"Kewaunee County",WI,"Lake States",343.95,near-term,wastes,426.67,137.00,dt,4658000000,BTU,0.40
