class,material_class,subclass,resource_name,diacls,owner,fips,county,state,"County Square Miles",scenario_name,scenario_price_offered,production,productionunit,production_energy_content,energy_content_unit,prod_density_dtpersqmi,harvest_costs,harvest_area,harv_area_unit,lipid_based,ash_percentage
forestland,wood,"Forest processing waste","Softwood processing residues",,,55077,"Marquette County",Wisconsin,464.47,"mature-market high",54,19.90,dt,362486900,BTU,0.04,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55077,"Marquette County",Wisconsin,464.47,"mature-market low",54,19.90,dt,362486900,BTU,0.04,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55077,"Marquette County",Wisconsin,464.47,"mature-market medium",54,19.90,dt,362486900,BTU,0.04,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55077,"Marquette County",Wisconsin,464.47,near-term,54,19.90,dt,362486900,BTU,0.04,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55085,"Oneida County",Wisconsin,1236.57,Emerging,54,4.26,dt,77526100,BTU,0.00,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55085,"Oneida County",Wisconsin,1236.57,"mature-market high",54,4.26,dt,77526100,BTU,0.00,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55085,"Oneida County",Wisconsin,1236.57,"mature-market low",54,4.26,dt,77526100,BTU,0.00,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55085,"Oneida County",Wisconsin,1236.57,"mature-market medium",54,4.26,dt,77526100,BTU,0.00,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55085,"Oneida County",Wisconsin,1236.57,near-term,54,4.26,dt,77526100,BTU,0.00,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55123,"Vernon County",Wisconsin,816.38,Emerging,54,28.31,dt,515808200,BTU,0.03,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55123,"Vernon County",Wisconsin,816.38,"mature-market high",54,28.31,dt,515808200,BTU,0.03,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55123,"Vernon County",Wisconsin,816.38,"mature-market low",54,28.31,dt,515808200,BTU,0.03,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55123,"Vernon County",Wisconsin,816.38,"mature-market medium",54,28.31,dt,515808200,BTU,0.03,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55123,"Vernon County",Wisconsin,816.38,near-term,54,28.31,dt,515808200,BTU,0.03,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55129,"Washburn County",Wisconsin,853.32,Emerging,54,1.96,dt,35711200,BTU,0.00,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55129,"Washburn County",Wisconsin,853.32,"mature-market high",54,1.96,dt,35711200,BTU,0.00,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55129,"Washburn County",Wisconsin,853.32,"mature-market low",54,1.96,dt,35711200,BTU,0.00,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55129,"Washburn County",Wisconsin,853.32,"mature-market medium",54,1.96,dt,35711200,BTU,0.00,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55129,"Washburn County",Wisconsin,853.32,near-term,54,1.96,dt,35711200,BTU,0.00,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55135,"Waupaca County",Wisconsin,765.17,Emerging,54,9.28,dt,169081600,BTU,0.01,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55135,"Waupaca County",Wisconsin,765.17,"mature-market high",54,9.28,dt,169081600,BTU,0.01,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55135,"Waupaca County",Wisconsin,765.17,"mature-market low",54,9.28,dt,169081600,BTU,0.01,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55135,"Waupaca County",Wisconsin,765.17,"mature-market medium",54,9.28,dt,169081600,BTU,0.01,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55135,"Waupaca County",Wisconsin,765.17,near-term,54,9.28,dt,169081600,BTU,0.01,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55141,"Wood County",Wisconsin,809.25,Emerging,54,3009.22,dt,54827897300,BTU,3.72,0.0,0.0,,No,1.17
