class,subclass,resource,fips,county,state_name,usdaregion,"County Square Miles",model_name,scenario_name,price_offered,production,production_unit,btu_ton,production_energy_content,energy_content_unit,production_density_dtpersqmi,landsource
"agriculture land","Agricultural residues","Oats straw",55055,"Jefferson County",Wisconsin,"Lake States",582.74,POLYSYS,"mature-market medium",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Oats straw",55021,"Columbia County",Wisconsin,"Lake States",795.99,POLYSYS,emerging,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55133,"Waukesha County",Wisconsin,"Lake States",580.54,POLYSYS,emerging,70,72943.00,dt,16660000,1215230380000,BTU,125.65,Crop
"agriculture land","Agricultural residues","Oats straw",55127,"Walworth County",Wisconsin,"Lake States",576.6,POLYSYS,emerging,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Switchgrass,55019,"Clark County",Wisconsin,"Lake States",1218.67,POLYSYS,"mature-market medium",70,0.00,dt,16424000,0,BTU,0.00,Pasture
"agriculture land","Energy crops, herbaceous",Switchgrass,55055,"Jefferson County",Wisconsin,"Lake States",582.74,POLYSYS,"mature-market high",70,0.00,dt,16424000,0,BTU,0.00,Pasture
"agriculture land","Agricultural residues","Corn stover",55025,"Dane County",Wisconsin,"Lake States",1237.5,POLYSYS,"mature-market high",70,682610.00,dt,15722000,10731994420000,BTU,551.60,Crop
"agriculture land","Intermediate oilseeds",Pennycress,55003,"Ashland County",Wisconsin,"Lake States",1054.13,POLYSYS,"mature-market low",400,573.53,dt,23288300,13356538699,BTU,0.54,Crop
"agriculture land","Agricultural residues","Corn stover",55039,"Fond du Lac County",Wisconsin,"Lake States",765.84,POLYSYS,near-term,70,205751.00,dt,15722000,3234817222000,BTU,268.66,Crop
"agriculture land","Agricultural residues","Corn stover",55071,"Manitowoc County",Wisconsin,"Lake States",594.62,POLYSYS,"mature-market high",70,0.00,dt,15722000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Oats straw",55093,"Pierce County",Wisconsin,"Lake States",592.73,POLYSYS,"mature-market high",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55093,"Pierce County",Wisconsin,"Lake States",592.73,POLYSYS,"mature-market low",70,7190.00,dt,16660000,119785400000,BTU,12.13,Pasture
"agriculture land","Agricultural residues","Oats straw",55085,"Oneida County",Wisconsin,"Lake States",1236.57,POLYSYS,"mature-market medium",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Corn stover",55131,"Washington County",Wisconsin,"Lake States",435.66,POLYSYS,"mature-market medium",70,112741.00,dt,15722000,1772514002000,BTU,258.78,Crop
"agriculture land","Agricultural residues","Oats straw",55117,"Sheboygan County",Wisconsin,"Lake States",517.64,POLYSYS,"mature-market medium",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Intermediate oilseeds",Pennycress,55017,"Chippewa County",Wisconsin,"Lake States",1041.27,POLYSYS,emerging,400,21522.09,dt,23288300,501212888547,BTU,20.67,Crop
"agriculture land","Intermediate oilseeds",Pennycress,55033,"Dunn County",Wisconsin,"Lake States",863.89,POLYSYS,emerging,400,26243.75,dt,23288300,611172323125,BTU,30.38,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55085,"Oneida County",Wisconsin,"Lake States",1236.57,POLYSYS,"mature-market low",70,577.00,dt,16660000,9612820000,BTU,0.47,Pasture
